Year,Engineering technologies,Science and other S&E technologies
2000,"40,470","1,224"
2001,"39,732","1,310"
2002,"37,901","1,089"
2003,"39,600","1,180"
2004,"37,020","1,426"
2005,"32,488","1,601"
2006,"29,710","1,835"
2007,"30,097","2,210"
2008,"31,643","2,299"
2009,"33,243","2,195"
2010,"34,553","2,486"
2011,"38,222","2,837"
2012,"40,630","3,216"
2013,"37,475","3,359"
2014,"34,638","3,549"
2015,"34,764","3,821"
2016,"31,704","4,080"
2017,"31,561","4,540"
2018,"31,438","4,702"
2019,"30,731","4,744"
